plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna
m,21650,2037,2058,24943,5533.26
k,7552,2028,2058,67061,5533.26
m,8368,2026,2045,70339,3693.12
k,10809,2025,2061,43429,6068.21
k,8172,2029,2063,18729,6451.77
k,6210,2024,2058,9616,5533.26
k,17741,2025,2052,27736,5655.006576330656
m,7396,2030,2055,95667,5043.61
k,35808,2034,2055,87412,7388.645463409942
k,24197,2029,2057,2989,7586.664713099045
k,10219,2026,2061,52775,6068.21
k,18781,2026,2062,48682,8754.413521352888
k,44942,2024,2054,44813,13012.375446746675
k,9439,2024,2062,18700,6257.17
k,5174,2025,2057,41133,5365.22
m,9377,2028,2054,60266,4889.78
k,5484,2025,2063,71305,6451.77
k,6449,2024,2060,76779,5884.61
m,25470,2033,2061,35118,9149.6134246873
m,4973,2025,2062,19415,6257.17
k,6390,2026,2063,6868,6451.77
m,12443,2024,2056,49142,6035.51612458133
k,11373,2030,2062,85109,6257.17
m,9601,2030,2062,58840,6257.17
k,18875,2026,2050,33324,5101.600889846523
m,14908,2025,2055,84389,6476.327518757239
k,15315,2027,2061,22784,6461.5985173278905
m,25090,2028,2054,128776,8613.75722539475
m,16893,2028,2060,56337,7661.668137911507
k,22001,2027,2060,11438,8883.480358133529
k,9326,2024,2061,33741,6068.21
k,18253,2027,2063,27603,8408.201710911286
k,5920,2028,2062,41009,6257.17
k,14568,2026,2053,60444,4740.46
k,17302,2028,2057,6330,5755.6332474931
k,34340,2024,2060,6018,14816.558207051115
k,7813,2030,2058,39452,5533.26
m,15220,2024,2061,14814,9095.27070080569
k,14773,2024,2057,70604,6283.519020499961
k,6505,2024,2058,416,5533.26
k,21654,2027,2058,16438,7996.050346068217
m,5446,2024,2059,13700,5706.34
k,10213,2030,2057,99567,5365.22
k,21571,2029,2062,139,8529.123431979342
k,8414,2042,2058,25232,5533.26
k,36302,2039,2063,13863,8617.891502721546
m,9819,2027,2062,29888,6257.17
m,20340,2025,2063,80418,12429.196809639896
m,13474,2025,2055,1899,5853.369800626174
m,31584,2029,2056,17290,11059.764560608137
m,8053,2029,2057,35318,5365.22
k,13507,2024,2063,6774,7384.515212897216
k,5199,2034,2054,25844,4889.78
m,21737,2028,2056,5080,8210.97266630859
k,13491,2025,2057,48896,5376.65106063942
m,9550,2030,2060,45849,5884.61
k,5396,2027,2059,36951,5706.34
k,32436,2028,2062,19156,13163.799619085925
k,8296,2024,2055,52128,5043.61
k,6434,2028,2053,4953,4740.46
k,8517,2025,2057,3287,5365.22
k,8628,2025,2062,42796,6257.17
m,17669,2028,2058,47646,7319.858110494499
m,18303,2024,2050,42480,6816.227615400549
k,7295,2028,2055,58780,5043.61
k,9838,2024,2062,18415,6257.17
m,8759,2025,2044,10718,3578.95
m,6763,2025,2059,5732,5706.34
k,4963,2024,2054,46534,4889.78
m,7174,2024,2059,15524,5706.34
k,12521,2025,2051,25133,4454.84
m,10569,2025,2041,37150,3256.3
k,8154,2026,2054,2621,4889.78
k,10025,2024,2062,2567,6257.17
m,9685,2028,2063,295,6451.77
m,20844,2025,2055,49537,9055.042312917614
k,15946,2028,2052,66907,4595.52
k,19187,2024,2058,1981,8512.520207796124
k,15667,2029,2059,55564,5706.34
k,12952,2031,2061,22061,6068.21
m,11946,2027,2056,46841,5202.08
k,7833,2033,2059,28197,5706.34
m,29746,2024,2052,5381,11281.29370827362
m,6129,2028,2061,50833,6068.21
m,12369,2026,2051,30478,4454.84
m,18000,2032,2063,68126,7526.917318270893
m,9687,2024,2061,11893,6068.21
k,27672,2026,2060,39763,11616.849466387079
k,4891,2024,2061,4435,6068.21
m,9940,2024,2054,47768,4889.78
m,8306,2028,2060,26057,5884.61
k,14043,2027,2063,9579,6468.875068554608
m,10049,2025,2057,25442,5365.22
m,5617,2025,2060,2320,5884.61
m,6567,2039,2054,4722,4889.78
m,17608,2026,2057,12239,7850.023391137791
k,7722,2033,2052,46095,4595.52
m,7422,2025,2055,7444,5043.61
k,5465,2028,2055,12592,5043.61
k,9837,2029,2058,20561,5533.26
m,29986,2028,2060,24867,13409.908843266998
k,11518,2024,2057,83644,5365.22
k,5904,2025,2059,26792,5706.34
k,13361,2027,2060,27391,5884.61
m,21526,2026,2055,60516,8776.21910281905
m,8459,2025,2058,18858,5533.26
k,18528,2035,2059,16087,5706.34
m,5710,2035,2059,5337,5706.34
m,5618,2027,2059,1860,5706.34
k,20972,2030,2063,19821,8225.513765975791
k,8699,2029,2056,2468,5202.08
k,12319,2031,2050,94191,4318.21
k,11301,2036,2051,4181,4454.84
k,12041,2028,2052,18164,4595.52
k,8083,2024,2051,9570,4454.84
m,6046,2032,2058,15292,5533.26
m,23187,2033,2060,53354,7925.22038436412
k,19305,2024,2062,95475,10123.964553164336
m,8893,2027,2058,7398,5533.26
k,6660,2035,2063,43237,6451.77
k,7392,2033,2054,9837,4889.78
m,21336,2024,2061,121166,12718.658797026985
k,19079,2024,2059,18982,8829.98415353361
k,5378,2024,2059,16208,5706.34
m,11636,2025,2055,57208,5054.9065607901275
k,21582,2026,2050,58170,5833.258299585043
m,9931,2036,2054,39555,4889.78
k,11076,2026,2061,18915,6068.21
k,11880,2027,2059,54998,5706.34
k,14359,2036,2059,84886,5706.34
m,22117,2024,2059,23546,12104.071095219926
k,11076,2027,2059,32517,5706.34
k,11473,2029,2053,35580,4740.46
m,8799,2034,2063,68592,6451.77
m,17659,2025,2059,67664,9118.7988694203
k,8499,2026,2056,38078,5202.08
m,8324,2025,2062,55219,6257.17
m,6879,2029,2063,70375,6451.77
k,6185,2025,2054,28279,4889.78
k,19845,2025,2059,28357,8621.909792343471
m,15401,2024,2062,10119,9590.988032836043
k,30121,2029,2061,5478,11294.36952630181
m,7402,2024,2062,2259,6257.17
k,5003,2025,2063,40312,6451.77
k,6880,2024,2057,7328,5365.22
k,32210,2025,2060,6445,13622.940318407764
m,8780,2033,2058,80823,5533.26
k,5653,2041,2054,11024,4889.78
m,8349,2024,2060,38011,5884.61
k,10343,2026,2057,6500,5365.22
m,14763,2034,2057,56626,5365.22
k,26560,2024,2057,7007,10900.612068608947
m,22695,2029,2062,45283,10656.091133601412
k,4626,2034,2063,67528,6451.77
m,4816,2027,2059,16144,5706.34
m,9798,2031,2056,2708,5202.08
m,14705,2028,2052,87909,4595.52
k,31486,2025,2057,34063,11753.712886239486
m,38495,2026,2058,11434,15958.853890768838
m,6407,2029,2063,11735,6451.77
k,5244,2037,2062,121663,6257.17
m,6504,2024,2057,928,5365.22
k,17681,2026,2061,20393,7892.752045250986
m,12581,2029,2056,22844,5202.08
m,7374,2025,2060,36300,5884.61
k,11098,2027,2062,7456,6257.17
m,17869,2025,2060,34847,9626.792906869137
m,8024,2028,2063,10510,6451.77
m,4711,2031,2058,72430,5533.26
m,8913,2029,2060,5768,5884.61
k,6122,2027,2055,1882,5043.61
m,7579,2027,2057,29452,5365.22
m,8694,2028,2063,43886,6451.77
k,23430,2025,2062,11519,11517.348003350975
m,14726,2027,2059,15882,6760.7394195952875
k,15145,2031,2060,25360,5884.61
m,18453,2025,2057,15600,8747.067205733216
m,8941,2031,2062,1884,6257.17
k,13613,2028,2052,51351,4595.52
m,28702,2032,2060,42882,10390.436315713341
m,4525,2026,2054,56590,4889.78
k,21432,2025,2063,18942,11034.048120761869
m,6553,2024,2055,2364,5043.61
k,7484,2025,2063,19188,6451.77
k,13365,2025,2049,11262,4185.61
k,8221,2025,2050,6846,4318.21
m,15682,2027,2055,7549,6007.3566010321465
k,28160,2027,2061,34954,11736.155753901732
m,23521,2030,2056,50253,7871.17954659447
m,15216,2026,2062,1546,8422.527976003703
k,10852,2025,2063,21451,6451.77
k,5137,2035,2063,21680,6451.77
k,13825,2025,2037,61196,2866.93
m,7001,2026,2057,67917,5365.22
m,16169,2027,2051,3543,5115.628413930784
m,18754,2025,2048,26002,5869.357553465601
m,5272,2024,2060,168,5884.61
m,10397,2024,2060,39514,5961.699135994496
k,25042,2029,2055,61254,7124.088950212072
m,17741,2024,2062,27139,11048.225354882426
k,9978,2024,2063,33898,6451.77
m,7821,2027,2049,13380,4185.61
k,23436,2025,2055,49754,8515.820183484098
k,4714,2026,2054,11612,4889.78
m,14724,2025,2061,6606,8273.622923210105
k,10044,2026,2054,4644,4889.78
m,25634,2029,2058,3777,10020.387242091188
k,14509,2027,2050,19711,4318.21
m,16730,2032,2062,20615,6671.06068118498
k,10475,2029,2060,63287,5884.61
k,5271,2025,2058,20744,5533.26
m,5760,2025,2053,10930,4740.46
m,7383,2029,2060,15373,5884.61
k,15968,2026,2054,17215,5223.375733737805
k,32661,2029,2059,55048,11023.242593008817
k,25536,2025,2049,2039,6924.020758299541
k,5259,2028,2052,55319,4595.52
m,4539,2029,2048,39599,4056.92
k,16248,2026,2060,16566,6947.0419428640325
m,43937,2030,2061,25958,17070.284508598004
k,23219,2024,2059,34187,10635.001639429162
k,6059,2027,2063,22474,6451.77
m,9448,2026,2047,30083,3932.04
k,30009,2028,2058,20818,10302.174818895326
k,4767,2026,2046,17225,3810.78
m,16968,2024,2059,28445,9333.70628713429
m,28263,2028,2062,52309,13926.847407797015
m,21995,2024,2047,44292,7032.170688393977
k,12173,2043,2055,36913,5043.61
m,37542,2025,2058,75553,16350.067941345025
k,4688,2030,2063,15350,6451.77
m,20251,2030,2063,89521,9427.349357619913
k,6277,2031,2054,48598,4889.78
k,10112,2030,2060,50553,5884.61
m,4887,2025,2050,20200,4318.21
m,15331,2025,2058,38526,7586.037586174709
k,7397,2024,2054,16032,4889.78
m,13116,2026,2054,77067,5110.056811697808
m,17150,2026,2056,44396,7315.688046435914
k,10418,2028,2061,7741,6068.21
m,24315,2025,2058,57316,11934.351158810492
m,26385,2032,2061,53921,10027.21662764028
m,9208,2028,2052,27914,4595.52
k,8465,2030,2058,86806,5533.26
m,5878,2026,2058,80640,5533.26
k,18575,2025,2061,56709,8785.153987597976
m,8445,2024,2055,49183,5043.61
m,8547,2024,2057,22762,5365.22
m,24095,2026,2050,52618,7749.669894364962
m,4611,2024,2051,14425,4454.84
k,4644,2025,2062,50567,6257.17
k,14677,2025,2057,21800,5849.314922318939
k,7557,2031,2052,9265,4595.52
k,9110,2024,2061,35186,6068.21
m,10359,2024,2060,17858,5939.909719127343
m,10550,2024,2058,33419,5566.004764395455
m,14025,2031,2060,28557,5884.61
k,12634,2025,2062,35716,6257.17
m,38988,2038,2050,47394,4941.730008236836
k,10943,2029,2060,79475,5884.61
k,18154,2027,2059,32308,7012.333675635546
m,38237,2028,2059,5931,15362.986357434522
k,19259,2027,2056,50150,6493.615315231979
m,8197,2024,2056,66051,5202.08
k,9670,2028,2060,29533,5884.61
m,6828,2026,2057,11509,5365.22
k,11327,2024,2063,34972,6451.77
m,10681,2024,2056,1920,5202.08
k,9046,2028,2054,2334,4889.78
m,5814,2025,2050,40555,4318.21
m,22019,2024,2063,23129,14225.689395949272
m,9596,2031,2056,30578,5202.08
k,6241,2025,2052,60450,4595.52
k,18589,2026,2063,26272,9046.200393734927
m,17361,2024,2061,22766,10374.703984013631
k,21800,2025,2059,55990,9471.284125627997
m,18321,2027,2062,7238,9592.48840384151
k,5654,2026,2055,28056,5043.61
m,4549,2027,2061,8656,6068.21
k,5491,2029,2060,12881,5884.61
k,13432,2025,2063,58981,6915.329150712649
k,8033,2028,2063,4253,6451.77
m,6504,2029,2057,21139,5365.22
m,26579,2024,2053,46016,10897.035236440719
k,14876,2024,2057,22877,6327.328839704692
m,9821,2028,2048,14990,4056.92
k,14969,2024,2046,54527,3829.357918157957
k,9152,2024,2051,11353,4454.84
k,5715,2029,2056,68706,5202.08
m,10130,2025,2060,24930,5884.61
k,14901,2034,2059,7569,5706.34
m,16355,2028,2061,4213,7756.041512950508
k,17753,2028,2063,7554,7748.904139412053
m,4706,2029,2060,59048,5884.61
m,9083,2024,2053,7100,4740.46
m,15339,2027,2048,18676,4143.257563350015
m,16334,2025,2056,54276,7415.968272263984
m,7043,2027,2062,49018,6257.17
k,26236,2024,2050,41139,7892.907735524088
m,27982,2024,2060,57398,15311.223117875526
m,10250,2030,2061,32538,6068.21
k,9444,2024,2056,41986,5202.08
m,7364,2024,2056,74896,5202.08
m,12333,2026,2049,32815,4185.61
k,8237,2027,2054,42719,4889.78
m,8306,2028,2057,50367,5365.22
k,10717,2027,2061,289,6068.21
k,23829,2027,2050,69338,6007.901408317031
m,6306,2025,2061,27301,6068.21
m,4557,2032,2054,34156,4889.78
k,12639,2026,2057,110859,5365.22
k,10908,2026,2059,6188,5706.34
k,18053,2025,2056,32146,6887.259521784813
k,11705,2025,2063,6080,6451.77
k,32226,2025,2059,47646,13046.050657396285
k,20672,2024,2054,22233,7719.031983826673
k,5316,2030,2063,36205,6451.77
m,9388,2024,2063,109803,6451.77
k,25803,2028,2049,47932,5746.193365628045
k,6494,2032,2062,87236,6257.17
k,11724,2028,2059,52037,5706.34
m,8806,2032,2061,110986,6068.21
m,8031,2027,2061,15582,6068.21
k,13405,2027,2058,4884,5533.26
k,18453,2024,2048,15401,5229.127303383716
k,8567,2026,2063,100371,6451.77
m,21949,2031,2060,6838,8410.412724694304
m,21672,2029,2061,55280,9726.022106319997
m,15346,2026,2063,8873,8863.909511235688
k,15413,2031,2048,27743,4056.92
m,12486,2027,2063,9459,6826.720807092864
k,36205,2024,2062,21291,16690.291067893275
k,17798,2024,2061,59852,8952.056619605923
m,10709,2024,2059,2360,5890.774435933592
k,8336,2028,2063,39145,6451.77
m,9217,2026,2055,45358,5043.61
m,12533,2024,2062,2248,7804.938186840726
m,22929,2026,2059,99203,11156.761404004805
m,8125,2030,2061,107333,6068.21
m,14502,2027,2061,5962,7269.427824373744
m,8767,2024,2063,28247,6451.77
k,4716,2027,2060,3581,5884.61
k,4947,2030,2062,29956,6257.17
k,15142,2029,2051,23365,4454.84
k,14001,2024,2061,42965,7042.237595859224
k,12332,2038,2062,7958,6257.17
k,6282,2025,2059,107732,5706.34
k,19464,2034,2059,53350,5706.34
k,27435,2029,2055,50107,7802.830571094581
k,17541,2025,2055,174,6401.697183632878
k,46341,2024,2058,17810,15951.132913465342
k,16704,2025,2061,17871,7900.253685536294
k,33482,2024,2058,77705,13369.257044892429
k,17282,2031,2063,66184,6451.77
k,8585,2025,2052,6273,4595.52
k,4930,2025,2061,48967,6068.21
k,13610,2025,2051,7257,4454.84
k,7805,2024,2050,24361,4318.21
m,8042,2025,2056,82421,5202.08
m,27327,2026,2063,5947,15544.398913457957
k,4803,2027,2058,64494,5533.26
k,9593,2029,2059,5481,5706.34
k,9704,2033,2058,12310,5533.26
k,10115,2025,2056,30239,5202.08
m,6317,2032,2046,18541,3810.78
m,7655,2025,2057,7942,5365.22
k,7195,2027,2047,2069,3932.04
m,8943,2031,2056,29847,5202.08
k,19871,2024,2050,26432,6204.663553286245
m,27073,2028,2051,24580,7984.485002874689
k,17487,2039,2059,50511,5706.34
k,9891,2029,2060,48119,5884.61
m,14553,2025,2057,68481,6898.394247278793
k,10236,2027,2048,64061,4056.92
k,14705,2028,2063,21221,6451.77
m,13311,2024,2062,37962,8289.438458871542
m,16514,2030,2050,11223,4318.21
m,20866,2031,2055,13156,6236.228983996881
m,12034,2024,2063,18341,7808.957156271799
m,9103,2025,2062,1799,6257.17
m,13285,2027,2055,59737,5089.129731202146
m,6102,2026,2057,1244,5365.22
k,16091,2026,2060,1566,6879.914568108385
m,9811,2024,2062,84438,6257.17
k,6095,2028,2059,32833,5706.34
m,19939,2024,2058,47332,10519.485213012415
m,4618,2024,2055,27268,5043.61
m,5185,2024,2055,41016,5043.61
m,15617,2032,2054,30834,4889.78
m,7491,2025,2058,69411,5533.26
k,8697,2024,2042,80726,3360.7
k,13061,2028,2042,35768,3360.7
m,4528,2038,2060,81511,5884.61
m,10471,2024,2059,125439,5759.85611342428
k,5868,2024,2059,49982,5706.34
k,8078,2024,2061,23029,6068.21
k,6355,2027,2063,20444,6451.77
m,11296,2026,2062,4826,6257.17
m,25815,2027,2061,131878,12908.180387144264
k,13208,2033,2062,53,6257.17
k,14420,2029,2047,8173,3932.04
m,13708,2024,2061,91211,8191.71949846546
m,25629,2030,2048,142403,5535.942168662705
k,4977,2026,2063,28718,6451.77
k,9965,2028,2060,35245,5884.61
m,20431,2030,2055,45151,6501.83398171949
k,9059,2027,2062,37324,6257.17
k,10987,2030,2058,9709,5533.26
m,17860,2025,2057,1586,8465.97411230669
m,7895,2030,2057,765,5365.22
m,9197,2029,2058,49839,5533.26
k,23620,2026,2061,10591,10535.610787861202
k,17422,2024,2051,34287,5699.645873393689
m,22625,2025,2055,6447,9809.831090381476
k,4584,2031,2061,42644,6068.21
m,8471,2029,2061,1824,6068.21
m,13522,2026,2063,5471,7810.359990285997
k,8303,2028,2062,27979,6257.17
k,39920,2037,2054,4417,6260.414577073587
m,5861,2024,2059,5222,5706.34
m,6267,2029,2059,1273,5706.34
k,20243,2028,2054,17794,5835.032290098816
k,18836,2024,2062,76317,9878.010687562984
m,5408,2025,2062,1393,6257.17
k,10834,2024,2054,36635,4889.78
k,4666,2026,2056,51612,5202.08
k,10677,2024,2062,12303,6257.17
k,18102,2025,2063,109428,9319.631349478877
m,12084,2027,2056,89966,5202.08
k,6932,2026,2060,35445,5884.61
m,8514,2029,2058,72563,5533.26
k,13754,2028,2054,12504,4889.78
m,19250,2025,2047,44099,5716.581329892106
m,38326,2040,2063,49748,10168.349020829308
m,12643,2025,2058,26446,6255.9698129284925
k,9609,2031,2062,43246,6257.17
k,5239,2025,2057,33090,5365.22
k,10325,2029,2063,87920,6451.77
k,12876,2029,2063,69438,6451.77
k,5779,2029,2057,1161,5365.22
m,14370,2028,2061,49268,6814.693765888032
k,5939,2026,2056,19922,5202.08
m,6558,2025,2061,13278,6068.21
k,10809,2025,2063,35435,6451.77
m,4898,2024,2060,12067,5884.61
m,6681,2027,2049,8028,4185.61
m,18902,2029,2060,125,8105.4319479058795
k,13763,2024,2057,54300,5853.927589463272
m,8485,2025,2062,4812,6257.17
m,4983,2028,2047,121074,3932.04
k,6912,2033,2062,28650,6257.17
m,7740,2025,2063,18386,6451.77
m,17438,2030,2054,32093,5274.272613530127
k,13597,2030,2062,81923,6257.17
m,4931,2026,2053,29945,4740.46
m,6000,2025,2049,58224,4185.61
m,12447,2028,2056,41798,5202.08
m,23962,2027,2063,18170,13101.224089344807
k,11091,2033,2063,14243,6451.77
m,30162,2031,2049,5625,6426.638990630253
k,21207,2026,2057,53164,7948.997967061699
k,24490,2028,2062,45905,10223.66255147623
m,9762,2027,2060,28989,5884.61
m,5849,2024,2055,105553,5043.61
k,7892,2026,2061,20341,6068.21
k,10077,2029,2063,65631,6451.77
k,37254,2025,2056,16892,12495.450754744577
m,38691,2028,2061,32330,16981.56738693978
m,16641,2026,2063,53537,9611.906566953801
k,21222,2028,2062,14786,8859.394310634076
m,6894,2033,2061,7359,6068.21
m,14916,2026,2062,1384,8256.468670483117
m,12018,2031,2062,38663,6257.17
k,6341,2024,2048,694,4056.92
k,20144,2036,2062,85749,6257.17
k,4950,2030,2063,9485,6451.77
k,18088,2024,2062,49662,9485.743115132684
m,10086,2026,2052,83734,4595.52
k,21445,2027,2061,12567,9047.925576499945
k,5526,2025,2061,80487,6068.21
m,11473,2028,2058,8248,5533.26
k,18496,2031,2062,17590,6560.117090042084
m,16272,2025,2052,42517,6180.639180320947
k,5032,2036,2063,9401,6451.77
m,17912,2025,2057,414,8490.623085086077
m,10741,2024,2042,18439,3360.7
k,20815,2027,2056,32987,7018.256544293766
m,8484,2027,2060,21848,5884.61
m,8115,2030,2060,62073,5884.61
k,16562,2027,2063,114582,7629.246520359
m,7012,2029,2061,9659,6068.21
k,8067,2024,2061,15160,6068.21
m,16565,2035,2050,3983,4318.21
m,8735,2030,2059,13845,5706.34
m,13942,2024,2062,27291,8682.394335030192
k,12901,2025,2055,9350,5043.61
k,11724,2026,2061,75530,6068.21
m,24622,2027,2046,29439,5930.80876568043
k,14141,2026,2045,83650,3693.12
k,4785,2024,2058,20463,5533.26
m,28377,2027,2055,24871,10710.626530414504
k,7095,2026,2054,27204,4889.78
m,7976,2040,2062,43000,6257.17
m,4608,2025,2059,36440,5706.34
k,5289,2026,2061,18678,6068.21
k,32455,2028,2050,37430,7362.196034662287
k,11993,2024,2054,35148,4889.78
k,7403,2025,2061,71231,6068.21
k,23291,2031,2061,38339,7877.17451142277
m,23841,2024,2059,50019,12927.551363717246
m,9180,2029,2063,12321,6451.77
m,4738,2026,2053,14289,4740.46
m,7047,2035,2056,102157,5202.08
k,11576,2026,2058,24827,5533.26
k,8347,2024,2033,21057,2519.67
k,9344,2035,2059,9799,5706.34
k,29631,2026,2063,28645,13981.99801956625
k,8325,2029,2062,61848,6257.17
m,6920,2025,2056,31900,5202.08
m,10746,2025,2055,29006,5043.61
m,31828,2027,2059,62979,14083.720321903966
m,20033,2027,2060,16882,9612.15022938864
m,8791,2029,2056,127424,5202.08
m,18534,2027,2060,28683,8892.906322142919
k,17023,2024,2058,37464,7552.438187174303
k,5064,2025,2062,10076,6257.17
m,9303,2030,2061,13622,6068.21
k,9900,2030,2062,611,6257.17
m,5633,2033,2053,27215,4740.46
k,17659,2026,2058,20585,6917.626256706886
m,8186,2027,2048,31262,4056.92
m,6304,2030,2045,15381,3693.12
k,16785,2024,2058,38478,7446.846911338819
m,12023,2025,2061,84868,6755.892991425908
m,13002,2029,2062,3782,6257.17
m,6487,2031,2056,8114,5202.08
m,37033,2026,2050,47299,10587.199235860726
m,21287,2024,2061,45112,12691.125007076078
k,24118,2027,2061,70612,10175.699186478223
k,5219,2024,2054,79113,4889.78
k,19254,2024,2060,97572,9290.715154749576
m,5383,2025,2058,2598,5533.26
k,15796,2026,2062,13958,7363.011340359421
k,29788,2025,2060,42701,12884.710003236389
m,16165,2030,2062,1893,7189.020515201158
k,10467,2027,2061,48105,6068.21
k,6557,2027,2051,136437,4454.84
k,26696,2025,2056,1205,9946.916285059136
m,5181,2026,2042,56091,3360.7
m,22533,2025,2062,3074,13184.790310751327
k,39719,2024,2055,2285,12873.702300434677
k,7739,2029,2056,122521,5202.08
m,11299,2029,2062,47175,6257.17
k,8585,2029,2053,15829,4740.46
m,7543,2026,2051,20845,4454.84
m,17072,2029,2058,539,6673.4825230935785
m,12754,2024,2052,38950,5200.792095074632
k,13219,2032,2059,40757,5706.34
k,5965,2030,2059,12832,5706.34
k,11131,2033,2060,9392,5884.61
k,24078,2024,2063,93276,12966.707768218392
k,9949,2024,2063,7389,6451.77
m,6723,2036,2057,27114,5365.22
k,6691,2027,2047,60431,3932.04
m,11310,2035,2061,24145,6068.21
m,9470,2025,2060,1538,5884.61
m,5563,2027,2059,19513,5706.34
k,15837,2029,2063,3884,6552.460091065993
m,5583,2026,2062,4298,6257.17
k,16040,2030,2063,12119,6451.77
m,6016,2027,2063,89305,6451.77
m,17422,2028,2045,14488,3693.12
m,5696,2028,2060,13480,5884.61
m,6420,2024,2059,11698,5706.34
k,5185,2024,2051,4650,4454.84
k,11586,2031,2063,7957,6451.77
m,19722,2033,2054,7757,4900.437943381562
k,7820,2027,2050,506,4318.21
k,12609,2031,2058,3867,5533.26
m,13014,2025,2059,14988,6720.202077503575
k,5172,2028,2055,12816,5043.61
k,8636,2027,2050,57261,4318.21
k,19269,2028,2060,77204,7354.309418709443
k,4749,2024,2061,18307,6068.21
k,43814,2029,2060,63426,14203.37433729286
k,28991,2027,2060,20249,11508.433782578364
k,5084,2032,2063,19268,6451.77
m,9360,2027,2040,10498,3154.78
k,17345,2032,2058,32080,5533.26
k,4590,2031,2060,53655,5884.61
k,6443,2026,2061,12381,6068.21
m,10012,2024,2056,1785,5202.08
k,16501,2027,2059,11031,6373.830449579273
m,11798,2030,2063,52978,6451.77
k,5517,2026,2059,41862,5706.34
m,6637,2028,2061,28971,6068.21
k,15153,2028,2063,8677,6614.045199375365
m,4720,2026,2053,52368,4740.46
k,14882,2027,2045,9518,3693.12
m,5888,2024,2060,20618,5884.61
k,20140,2030,2058,5676,6245.645854777772
m,8152,2039,2063,49488,6451.77
m,14651,2028,2052,16170,4595.52
m,12247,2035,2061,35871,6068.21
m,10095,2024,2063,32066,6550.724820721597
m,14336,2025,2059,6328,7402.859765106138
m,16075,2024,2056,20823,7797.229100911743
k,9248,2027,2051,36185,4454.84
k,7395,2033,2060,21514,5884.61
m,24849,2028,2063,87988,12873.522446884981
m,22014,2025,2058,860,10890.090336854777
m,21744,2026,2062,4631,12035.978464131464
k,12535,2032,2060,52176,5884.61
k,32636,2028,2062,30671,13227.349579103931
m,7662,2028,2059,62931,5706.34
m,13046,2027,2061,16285,6539.577671823188
k,13068,2026,2062,985,6257.17
k,7876,2028,2062,104345,6257.17
k,5377,2025,2059,19949,5706.34
m,18384,2025,2063,55177,11233.940715261557
m,9671,2027,2062,10787,6257.17
m,12380,2030,2062,23722,6257.17
m,5887,2030,2062,42162,6257.17
k,10893,2033,2063,13306,6451.77
m,21718,2024,2063,8978,14045.167198010713
k,12725,2026,2061,10845,6068.21
k,9188,2026,2058,41654,5533.26
k,25062,2025,2051,2407,7521.891493063818
m,5853,2031,2059,35502,5706.34
m,6207,2026,2061,19791,6068.21
k,5799,2026,2058,19467,5533.26
m,8896,2027,2052,33987,4595.52
k,10761,2025,2059,50948,5706.34
k,20278,2027,2061,33011,8555.553035218738
k,5889,2024,2062,21680,6257.17
m,9136,2025,2051,951,4454.84
k,8708,2027,2058,35743,5533.26
k,4784,2027,2062,19706,6257.17
k,10999,2025,2059,754,5706.34
m,37599,2025,2062,70235,19522.858557372092
k,5139,2024,2060,6292,5884.61
m,29739,2024,2061,35210,16689.910037619804
m,33049,2024,2056,24805,14449.221214726713
k,5404,2024,2052,29567,4595.52
m,10939,2024,2061,35046,6537.001721163828
m,21601,2026,2047,4354,5945.675428897097
k,9035,2029,2055,35764,5043.61
m,10917,2027,2056,39998,5202.08
m,11344,2028,2049,21731,4185.61
m,5533,2034,2063,20261,6451.77
k,8113,2038,2061,16006,6068.21
m,17860,2036,2057,37587,5365.22
k,17864,2025,2061,22287,8448.882413698537
m,20224,2024,2059,12857,11124.756951379297
k,15230,2029,2063,15260,6451.77
m,22050,2032,2062,59573,8792.402153026225
k,12902,2025,2056,29171,5202.08
k,27014,2028,2057,10633,8965.99786722823
k,12473,2029,2048,39523,4056.92
m,14885,2024,2058,17360,7853.0787600024905
m,13273,2024,2038,57184,2960.16
k,7054,2024,2060,15664,5884.61
k,5209,2027,2056,34818,5202.08
m,6165,2024,2061,19669,6068.21
k,5881,2025,2062,3313,6257.17
m,14921,2025,2063,37838,9117.799685183716
k,21697,2033,2059,16897,5931.737923651962
k,4853,2042,2058,5098,5533.26
k,10301,2026,2063,12901,6451.77
k,21387,2032,2057,33369,5600.92676749186
m,22422,2025,2063,25655,13684.550077248623
k,33713,2028,2059,798,11830.264306161062
m,13992,2025,2058,43188,6923.477783951243
m,6844,2025,2053,126804,4740.46
m,20776,2026,2063,7006,12000.298710115509
k,7981,2027,2060,105958,5884.61
m,4644,2025,2060,44360,5884.61
m,18344,2027,2052,63489,6096.195004737894
m,9354,2030,2059,47371,5706.34
k,8029,2027,2059,6286,5706.34
m,20309,2025,2062,27146,11901.490942337978
k,8599,2024,2045,46257,3693.12
m,18371,2027,2063,25636,10044.344701834294
k,5415,2028,2063,34350,6451.77
m,17160,2026,2052,31864,6093.757576152544
k,10534,2027,2063,23559,6451.77
k,21291,2025,2051,30989,6478.71969805047
m,6125,2034,2061,8898,6068.21
m,6970,2027,2063,50660,6451.77
m,7070,2028,2059,53841,5706.34
k,14825,2025,2052,56515,4725.521249878922
m,7246,2024,2056,42594,5202.08
m,19001,2026,2056,111817,8105.270470573108
